asset_name,feed_type,feed_product,days_opened_avg
MLSOK,Data Feed Type - Member Initiated with MLS,IDX Feed,410
MLSOK,Data Feed Type - Electronic Grid Agreement,IDX Feed,53
MLSOK,Data Feed Type - Electronic Trestle Agreement,IDX Feed,10
Monmouth Ocean Regional Multiple Listing ServiData,Feed Type - CWS Initiated with MLS,Back Office Feed,1
Monmouth Ocean Regional Multiple Listing ServiData,Feed Type - CWS Initiated with MLS,IDX Feed,16
Montana Regional MLS,Data Feed Type - Electronic Trestle Agreement,IDX Feed,2
Montgomery Area Association of REALTORS,Data Feed Type - Electronic Trestle Agreement,IDX Feed,1
Montgomery Area Association of REALTORS,Data Feed Type - Electronic Trestle Agreement,Back Office Feed,27
Mount Rushmore Area Association of REALTORSData,Feed Type - Member Initiated with MLS,IDX Feed,20
Mount Rushmore Area Association of REALTORSData,Feed Type - Member Initiated with MLS,Back Office Feed,20
Mountain Lakes Board of REALTORS,Data Feed Type - CWS Initiated with MLS,Back Office Feed,34
Mountain Lakes Board of REALTORS,Data Feed Type - CWS Initiated with MLS,IDX Feed,57
Multiple Listing Service of Bonita SpringsEstero,Data Feed Type - Member Initiated with MLS,VOW Feed,32
Multiple Listing Service of Spartanburg,Data Feed Type - Hard Copy Agreement,IDX Feed,54
Multiple Listing Service of Spartanburg,Data Feed Type - Electronic Grid Agreement,VOW Feed,13
Multiple Listing Service of Spartanburg,Data Feed Type - Electronic Grid Agreement,IDX Feed,6
Muscatine Multiple Listing Service,Data Feed Type - Member Initiated with MLS,Back Office Feed,57
Muscatine Multiple Listing Service,Data Feed Type - Member Initiated with MLS,IDX Feed,56
Naples Area Board of REALTORS,Data Feed Type - Member Initiated with MLS Portal,IDX Feed,41
New Jersey MLS,Data Feed Type - Hard Copy Agreement,IDX Feed,23
New Jersey MLS,Data Feed Type - Member Initiated with MLS Portal,IDX Feed,2
NoCoast MLS,Data Feed Type - Electronic Grid Agreement,IDX Feed,22
NoCoast MLS,Data Feed Type - Electronic Grid Agreement,Back Office Feed,70
North Carolina Regional MLS,Data Feed Type - CWS Initiated with MLS,IDX Feed,10
North Carolina Regional MLS,Data Feed Type - Hard Copy Agreement,IDX Feed,44
North Carolina Regional MLS,Data Feed Type - CWS Initiated with MLS,Back Office Feed,99
North Carolina Regional MLS,Data Feed Type - Hard Copy Agreement,VOW Feed,21
North Central Mississippi Board of REALTORS,Data Feed Type - CWS Initiated with MLS,IDX Feed,1
North Texas Real Estate Information Systems (NTData,Feed Type - Hard Copy Agreement,IDX Feed,3
Northeast Arkansas Board of REALTORS,Data Feed Type - Hard Copy Agreement,IDX Feed,7
Northeast Central Association of REALTORS,Data Feed Type - Member Initiated with MLS,IDX Feed,20
Northeast Georgia Board of REALTORS,Data Feed Type - CWS Initiated with MLS,IDX Feed,1
Northeast Iowa Regional Board of REALTORS,Data Feed Type - Electronic Grid Agreement,Back Office Feed,13
Northeast Iowa Regional Board of REALTORS,Data Feed Type - Electronic Grid Agreement,IDX Feed,13
Northeast Mississippi Board of REALTORS,Data Feed Type - Member Initiated with MLS,IDX Feed,7
Northeast Oklahoma Board of REALTORS,Data Feed Type - CWS Initiated with MLS,IDX Feed,12
Northeast South Dakota Association of REALTORData,Feed Type - CWS Initiated with MLS,Back Office Feed,62
Northeast South Dakota Association of REALTORData,Feed Type - CWS Initiated with MLS,IDX Feed,40
Northern Arizona Association of REALTORS,Data Feed Type - CWS Initiated with MLS,IDX Feed,38
Northern Great Lakes REALTORS MLS,Data Feed Type - Member Initiated with MLS Portal,IDX Feed,436
Northern Great Lakes REALTORS MLS,Data Feed Type - Hard Copy Agreement,IDX Feed,34
Northern Great Lakes REALTORS MLS,Data Feed Type - Hard Copy Agreement,Back Office Feed,50
Northern Kentucky Multiple Listing Service,Data Feed Type - CWS Initiated with MLS,IDX Feed,4
Northern Michigan MLS,Data Feed Type - Member Initiated with MLS,Back Office Feed,410
Northern Mountains of Pennsylvania MLS,Data Feed Type - CWS Initiated with MLS,IDX Feed,2
Northern Neck Association of Realtors,Data Feed Type - CWS Initiated with MLS,IDX Feed,8
Northern Nevada Regional MLS,Data Feed Type - CWS Initiated with MLS,IDX Feed,2
Northern Nevada Regional MLS,Data Feed Type - CWS Initiated with MLS,Back Office Feed,510
NorthstarMLS,Data Feed Type - Electronic Grid Agreement,IDX Feed,9
NorthstarMLS,Data Feed Type - Electronic Grid Agreement,Back Office Feed,20
NorthstarMLS,Data Feed Type - Electronic Grid Agreement,VOW Feed,4
Northwest Arkansas Board of REALTORS,Data Feed Type - Electronic Trestle Agreement,Back Office Feed,20
Northwest Arkansas Board of REALTORS,Data Feed Type - Electronic Trestle Agreement,IDX Feed,5
Northwest Illinois Alliance of Realtors (Rockford,Data Feed Type - Hard Copy Agreement,IDX Feed,47
Northwest Indiana Association of Realtors,Data Feed Type - Electronic Grid Agreement,Back Office Feed,11
Northwest Indiana Association of Realtors,Data Feed Type - Electronic Grid Agreement,IDX Feed,9
Northwest Iowa Regional Board of REALTORS,Data Feed Type - Hard Copy Agreement,Back Office Feed,13
Northwest Iowa Regional Board of REALTORS,Data Feed Type - Hard Copy Agreement,IDX Feed,13
Northwest Multiple Listing Service (NWMLS),Data Feed Type - Electronic Grid Agreement,IDX Feed,10
Northwest Ohio Real Estate Information SystemsData,Feed Type - Electronic Trestle Agreement,Back Office Feed,20
Northwest Ohio Real Estate Information SystemsData,Feed Type - Electronic Trestle Agreement,IDX Feed,7
Nova Scotia Association of REALTORS,Data Feed Type - Member Initiated with MLS Portal,Back Office Feed,57
NY State MLS,Data Feed Type - Hard Copy Agreement,IDX Feed,325
NY State MLS,Data Feed Type - Electronic Trestle Agreement,IDX Feed,3
Odessa Board of REALTORS,Data Feed Type - CWS Initiated with MLS,IDX Feed,10
OneKey MLS,Data Feed Type - Electronic Grid Agreement,IDX Feed,3
OneKey MLS,Data Feed Type - Electronic Grid Agreement,Back Office Feed,68
Oregon Data Share,Data Feed Type - Hard Copy Agreement,IDX Feed,567
Oregon Data Share,Data Feed Type - CWS Initiated with MLS,IDX Feed,26
Ottawa Real Estate Board,Data Feed Type - Member Initiated with MLS,IDX Feed,91
Ottawa Real Estate Board,Data Feed Type - Member Initiated with MLS Portal,VOW Feed,7
Ottawa Real Estate Board,Data Feed Type - Member Initiated with MLS Portal,IDX Feed,12
Outer Banks Association of REALTORS,Data Feed Type - Hard Copy Agreement,IDX Feed,40
Outer Banks Association of REALTORS,Data Feed Type - Hard Copy Agreement,Back Office Feed,388
Ozark Gateway Association of REALTORS,Data Feed Type - CWS Initiated with MLS,Back Office Feed,2
Pacific Regional MLS,Data Feed Type - Hard Copy Agreement,Back Office Feed,42
Pacific Regional MLS,Data Feed Type - Hard Copy Agreement,VOW Feed,22
Pacific Regional MLS,Data Feed Type - Hard Copy Agreement,IDX Feed,77
Pampa Association of REALTORS,Data Feed Type - Hard Copy Agreement,Back Office Feed,250
Pampa Association of REALTORS,Data Feed Type - Member Initiated with MLS,IDX Feed,391
Park City Board of REALTORS,Data Feed Type - Hard Copy Agreement,IDX Feed,4
Pee Dee REALTOR Association,Data Feed Type - Member Initiated with MLS Portal,IDX Feed,12
Pensacola Association of REALTORS,Data Feed Type - CWS Initiated with MLS,IDX Feed,7
Permian Basin Board of REALTORS,Data Feed Type - Hard Copy Agreement,IDX Feed,3
Permian Basin Board of REALTORS,Data Feed Type - Hard Copy Agreement,Back Office Feed,3
Permian Basin Board of REALTORS,Data Feed Type - CWS Initiated with MLS,IDX Feed,25
Pierre Area MLS,Data Feed Type - CWS Initiated with MLS,IDX Feed,3
Pikes Peak REALTOR Services,Data Feed Type - Hard Copy Agreement,Back Office Feed,19
Pikes Peak REALTOR Services,Data Feed Type - Hard Copy Agreement,IDX Feed,6
PikeWayne Association of REALTORS,Data Feed Type - Electronic Grid Agreement,IDX Feed,4
PikeWayne Association of REALTORS,Data Feed Type - Electronic Grid Agreement,Back Office Feed,7
Plumas Association of REALTORS,Data Feed Type - Hard Copy Agreement,IDX Feed,34
Pocono Mountains Association of REALTORS,Data Feed Type - Hard Copy Agreement,IDX Feed,1
Prescott Area Association of REALTORS,Data Feed Type - Electronic Grid Agreement,IDX Feed,17
Pueblo Association of REALTORS,Data Feed Type - CWS Initiated with MLS,VOW Feed,1
Real Estate Information Network (REIN),Data Feed Type - CWS Initiated with MLS,IDX Feed,1
Realcomp,Data Feed Type - Hard Copy Agreement,IDX Feed,7
realMLS (Northeast Florida Multiple Listing ServiData,Feed Type - CWS Initiated with MLS,VOW Feed,11
realMLS (Northeast Florida Multiple Listing ServiData,Feed Type - CWS Initiated with MLS,Back Office Feed,6
realMLS (Northeast Florida Multiple Listing ServiData,Feed Type - CWS Initiated with MLS,IDX Feed,6
REALTOR Association of Franklin & Gulf CountiesData,Feed Type - Hard Copy Agreement,VOW Feed,18
REALTOR Association of Southern Minnesota,Data Feed Type - Hard Copy Agreement,Back Office Feed,13
REALTOR Association of Southern Minnesota,Data Feed Type - Hard Copy Agreement,IDX Feed,13
REALTOR Association of the Sioux Empire,Data Feed Type - Member Initiated with MLS,Back Office Feed,47
REALTOR Association of the Sioux Empire,Data Feed Type - Member Initiated with MLS,IDX Feed,82
REALTOR Association of the Sioux Empire,Data Feed Type - Hard Copy Agreement,IDX Feed,22
REALTOR Association of the Sioux Empire,Data Feed Type - Member Initiated with MLS Portal,IDX Feed,40
REALTORS Association of Citrus County,Data Feed Type - Electronic Trestle Agreement,IDX Feed,49
REALTORS Association of Indian River County,Data Feed Type - Electronic Trestle Agreement,VOW Feed,13
REALTORS Association of Indian River County,Data Feed Type - Electronic Trestle Agreement,Back Office Feed,31
REALTORS Association of Indian River County,Data Feed Type - Electronic Trestle Agreement,IDX Feed,17
REALTORS Association of Northwestern WisconsiData,Feed Type - Electronic Trestle Agreement,IDX Feed,6
REALTORS Association of Northwestern WisconsiData,Feed Type - Electronic Trestle Agreement,VOW Feed,25
realtracs,Data Feed Type - Electronic Grid Agreement,Back Office Feed,4
realtracs,Data Feed Type - Electronic Grid Agreement,IDX Feed,6
REColorado,Data Feed Type - Electronic Grid Agreement,Back Office Feed,5
REColorado,Data Feed Type - Electronic Grid Agreement,IDX Feed,9
REColorado,Data Feed Type - Hard Copy Agreement,Back Office Feed,60
REColorado,Data Feed Type - Hard Copy Agreement,IDX Feed,2
Reelfoot Regional Association of REALTORS,Data Feed Type - Electronic Grid Agreement,IDX Feed,42
Regional Multiple Listing Service (RMLS),Data Feed Type - Hard Copy Agreement,Back Office Feed,292
Regional Multiple Listing Service (RMLS),Data Feed Type - Hard Copy Agreement,IDX Feed,5
Rhode Island Association of REALTORS & StateWData,Feed Type - Electronic Trestle Agreement,IDX Feed,9
Rio Grande Valley Multiple Listing Service,Data Feed Type - Member Initiated with MLS,IDX Feed,6
River Counties Association of REALTORS,Data Feed Type - CWS Initiated with MLS,IDX Feed,30
RMLS Alliance,Data Feed Type - Electronic Grid Agreement,VOW Feed,14
RMLS Alliance,Data Feed Type - Electronic Grid Agreement,IDX Feed,4
RMLS Alliance,Data Feed Type - Electronic Grid Agreement,Back Office Feed,15
Roanoke Valley Association of REALTORS,Data Feed Type - Hard Copy Agreement,IDX Feed,35
Roanoke Valley Lake Gaston Board of REALTORSData,Feed Type - CWS Initiated with MLS,IDX Feed,11
Royal Gorge Association of REALTORS,Data Feed Type - CWS Initiated with MLS,Back Office Feed,12
Royal Gorge Association of REALTORS,Data Feed Type - CWS Initiated with MLS,IDX Feed,2
San Angelo Association of REALTORS,Data Feed Type - CWS Initiated with MLS,Back Office Feed,12
San Angelo Association of REALTORS,Data Feed Type - Member Initiated with MLS,Back Office Feed,445
San Angelo Association of REALTORS,Data Feed Type - CWS Initiated with MLS,IDX Feed,15
San Antonio Board of REALTORS,Data Feed Type - Hard Copy Agreement,Back Office Feed,15
San Antonio Board of REALTORS,Data Feed Type - Hard Copy Agreement,IDX Feed,12
San Diego MLS,Data Feed Type - Hard Copy Agreement,IDX Feed,1
San Francisco Association of REALTORS MLS,Data Feed Type - CWS Initiated with MLS,IDX Feed,2
San Juan County Board of REALTORS,Data Feed Type - Hard Copy Agreement,IDX Feed,54
Sanibel & Captiva Islands Association of REALTO,Data Feed Type - Hard Copy Agreement,IDX Feed,313
Santa Barbara Multiple Listing Service,Data Feed Type - Hard Copy Agreement,Back Office Feed,6
Santa Barbara Multiple Listing Service,Data Feed Type - CWS Initiated with MLS,VOW Feed,32
Santa Fe Association of REALTORS,Data Feed Type - Electronic Trestle Agreement,IDX Feed,13
Savannah MultiList Corporation,Data Feed Type - Electronic Trestle Agreement,IDX Feed,2
SEF MLS (Miami Association of REALTORS),Data Feed Type - Electronic Trestle Agreement,VOW Feed,16
SEF MLS (Miami Association of REALTORS),Data Feed Type - Electronic Trestle Agreement,IDX Feed,18
Selkirk Association of REALTORS,Data Feed Type - Member Initiated with MLS Portal,IDX Feed,5
Selkirk Association of REALTORS,Data Feed Type - Member Initiated with MLS Portal,Back Office Feed,26
Shasta Association of REALTORS,Data Feed Type - Hard Copy Agreement,Back Office Feed,19
SmartMLS,Data Feed Type - Hard Copy Agreement,IDX Feed,3
SmartMLS,Data Feed Type - Hard Copy Agreement,Back Office Feed,12
South Central Kansas MLS,Data Feed Type - Electronic Grid Agreement,Back Office Feed,97
South Central Kansas MLS,Data Feed Type - Electronic Grid Agreement,IDX Feed,7
South Central Wisconsin Multiple Listing Service,Data Feed Type - Hard Copy Agreement,IDX Feed,30
South Central Wisconsin Multiple Listing Service,Data Feed Type - Hard Copy Agreement,Back Office Feed,20
South Georgia MLS,Data Feed Type - CWS Initiated with MLS,IDX Feed,10
South Jersey Shore Regional MLS,Data Feed Type - Hard Copy Agreement,Back Office Feed,42
South Jersey Shore Regional MLS,Data Feed Type - Hard Copy Agreement,IDX Feed,119
South Tahoe Association of REALTORS,Data Feed Type - CWS Initiated with MLS,VOW Feed,4
South Tahoe Association of REALTORS,Data Feed Type - CWS Initiated with MLS,IDX Feed,6
South Texas Multiple Listing Service,Data Feed Type - Electronic Trestle Agreement,IDX Feed,4
Southern Indiana REALTOR Association,Data Feed Type - Electronic Trestle Agreement,IDX Feed,18
Southern Kentucky MLS (REIS),Data Feed Type - Hard Copy Agreement,IDX Feed,69
Southern Missouri Regional MLS,Data Feed Type - Electronic Grid Agreement,Back Office Feed,66
Southern Missouri Regional MLS,Data Feed Type - Electronic Grid Agreement,IDX Feed,16
Southern New Mexico MLS,Data Feed Type - Electronic Grid Agreement,IDX Feed,13
Southern New Mexico MLS,Data Feed Type - Electronic Trestle Agreement,Back Office Feed,13
Southern New Mexico MLS,Data Feed Type - Electronic Grid Agreement,Back Office Feed,13
Southern Oregon MLS,Data Feed Type - CWS Initiated with MLS,IDX Feed,119
Southern Piedmont Land & Lake Association of,Data Feed Type - CWS Initiated with MLS,Back Office Feed,409
Southwest Georgia MLS,Data Feed Type - CWS Initiated with MLS,IDX Feed,50
Southwest MLS,Data Feed Type - Electronic Trestle Agreement,Back Office Feed,1
Southwest MLS,Data Feed Type - Electronic Trestle Agreement,IDX Feed,4
Southwest Virginia Association of REALTORS,Data Feed Type - Hard Copy Agreement,IDX Feed,23
Space Coast (Brevard MLS),Data Feed Type - CWS Initiated with MLS,IDX Feed,65
Space Coast (Brevard MLS),Data Feed Type - CWS Initiated with MLS,Back Office Feed,43
Space Coast (Brevard MLS),Data Feed Type - CWS Initiated with MLS,VOW Feed,21
Spokane Association of REALTORS,Data Feed Type - Electronic Grid Agreement,Back Office Feed,11
Spokane Association of REALTORS,Data Feed Type - Hard Copy Agreement,IDX Feed,6
Spokane Association of REALTORS,Data Feed Type - Electronic Grid Agreement,IDX Feed,54
Staten Island Multiple Listing Service,Data Feed Type - CWS Initiated with MLS,VOW Feed,57
Staten Island Multiple Listing Service,Data Feed Type - CWS Initiated with MLS,IDX Feed,81
Stellar MLS,Data Feed Type - Electronic Grid Agreement,IDX Feed,10
Stellar MLS,Data Feed Type - Electronic Grid Agreement,Back Office Feed,25
Stellar MLS,Data Feed Type - Electronic Grid Agreement,VOW Feed,22
Strategic MLS Alliance,Data Feed Type - Hard Copy Agreement,Back Office Feed,20
Strategic MLS Alliance,Data Feed Type - CWS Initiated with MLS,IDX Feed,7
Strategic MLS Alliance,Data Feed Type - Hard Copy Agreement,IDX Feed,26
Summit MLS,Data Feed Type - Electronic Trestle Agreement,IDX Feed,3
Sumter Board of REALTORS,Data Feed Type - CWS Initiated with MLS,IDX Feed,16
Sun Valley Board of REALTORS,Data Feed Type - CWS Initiated with MLS,Back Office Feed,47
Sunflower Association of REALTORS,Data Feed Type - Electronic Grid Agreement,IDX Feed,7
Tahoe Sierra Board of REALTORS,Data Feed Type - CWS Initiated with MLS,VOW Feed,3
Taos County Association of REALTORS,Data Feed Type - Electronic Trestle Agreement,IDX Feed,4
Tehama County Association of REALTORS,Data Feed Type - Electronic Trestle Agreement,Back Office Feed,6
Tehama County Association of REALTORS,Data Feed Type - Hard Copy Agreement,Back Office Feed,44
Tehama County Association of REALTORS,Data Feed Type - Electronic Trestle Agreement,IDX Feed,6
Tehama County Association of REALTORS,Data Feed Type - Hard Copy Agreement,IDX Feed,44
Tennessee Virginia Regional MLS,Data Feed Type - CWS Initiated with MLS,Back Office Feed,28
Tennessee Virginia Regional MLS,Data Feed Type - CWS Initiated with MLS,IDX Feed,19
Teton Board of REALTORS,Data Feed Type - CWS Initiated with MLS,Back Office Feed,29
Texarkana Board of REALTORS,Data Feed Type - Hard Copy Agreement,IDX Feed,79
Texas REALTORS MLS,Data Feed Type - Member Initiated with MLS,Back Office Feed,242
The MLS (CLAW),Data Feed Type - Hard Copy Agreement,Back Office Feed,118
The MLS (CLAW),Data Feed Type - Hard Copy Agreement,IDX Feed,11
The MLS (CLAW),Data Feed Type - Member Initiated with MLS,IDX Feed,253
Thomasville Area Board of REALTORS,Data Feed Type - CWS Initiated with MLS,IDX Feed,31
Toronto Regional Real Estate Board,Data Feed Type - Member Initiated with MLS Portal,IDX Feed,3
Toronto Regional Real Estate Board,Data Feed Type - Member Initiated with MLS Portal,Back Office Feed,16
Toronto Regional Real Estate Board,Data Feed Type - Member Initiated with MLS,IDX Feed,1
Triad MLS,Data Feed Type - Member Initiated with MLS Portal,IDX Feed,17
Triad MLS,Data Feed Type - Member Initiated with MLS Portal,Back Office Feed,42
Upper Cumberland Association of REALTORS,Data Feed Type - CWS Initiated with MLS,IDX Feed,47
Upper Cumberland Association of REALTORS,Data Feed Type - CWS Initiated with MLS,Back Office Feed,21
Upstate New York Real Estate Information Servi,Data Feed Type - Electronic Trestle Agreement,VOW Feed,213
Upstate New York Real Estate Information Servi,Data Feed Type - Electronic Trestle Agreement,IDX Feed,27
UtahRealEstatecom,Data Feed Type - Member Initiated with MLS Portal,IDX Feed,13
UtahRealEstatecom,Data Feed Type - Member Initiated with MLS Portal,Back Office Feed,388
Vail MultiList Service,Data Feed Type - Hard Copy Agreement,IDX Feed,20
Vail MultiList Service,Data Feed Type - CWS Initiated with MLS,IDX Feed,4
ValleyMLScom,Data Feed Type - Member Initiated with MLS Portal,Back Office Feed,45
ValleyMLScom,Data Feed Type - Member Initiated with MLS Portal,IDX Feed,22
Vicksburg Warren County Board of REALTORS,Data Feed Type - Member Initiated with MLS,IDX Feed,6
Vicksburg Warren County Board of REALTORS,Data Feed Type - CWS Initiated with MLS,Back Office Feed,31
Waco Association of REALTORS,Data Feed Type - Electronic Trestle Agreement,IDX Feed,6
Walker Area Association of REALTORS,Data Feed Type - CWS Initiated with MLS,IDX Feed,55
Warren County Board of REALTORS,Data Feed Type - Member Initiated with MLS,IDX Feed,320
West Alabama Multiple Listing Service,Data Feed Type - Electronic Trestle Agreement,IDX Feed,34
West Alabama Multiple Listing Service,Data Feed Type - Electronic Trestle Agreement,VOW Feed,56
West Branch Valley Board of REALTORS,Data Feed Type - CWS Initiated with MLS,IDX Feed,12
West Central Association of REALTORS (MO),Data Feed Type - Hard Copy Agreement,Back Office Feed,36
West Central Association of REALTORS (MO),Data Feed Type - Member Initiated with MLS Portal,IDX Feed,7
West Penn MultiList,Data Feed Type - Electronic Trestle Agreement,Back Office Feed,20
West Penn MultiList,Data Feed Type - Electronic Trestle Agreement,VOW Feed,213
West Penn MultiList,Data Feed Type - Electronic Trestle Agreement,IDX Feed,7
Western Kentucky Regional MLS,Data Feed Type - Member Initiated with MLS,IDX Feed,12
Western Kentucky Regional MLS,Data Feed Type - Member Initiated with MLS,Back Office Feed,12
Western New York Real Estate Information ServiData,Feed Type - Electronic Trestle Agreement,IDX Feed,27
Western New York Real Estate Information ServiData,Feed Type - Electronic Trestle Agreement,VOW Feed,213
Western Upstate Multiple Listing Service,Data Feed Type - Electronic Trestle Agreement,IDX Feed,14
Western Upstate Multiple Listing Service,Data Feed Type - Electronic Trestle Agreement,Back Office Feed,53
Willamette Valley MLS,Data Feed Type - CWS Initiated with MLS,IDX Feed,28
Williamsburg Multiple Listing Service,Data Feed Type - Electronic Trestle Agreement,IDX Feed,2
Wisconsin Real Estate Exchange (WIREX),Data Feed Type - Hard Copy Agreement,IDX Feed,187
Yuma Association of REALTORS,Data Feed Type - Hard Copy Agreement,IDX Feed,45
