mls,feed_status,ticket,dlm,state,brokerage_name,broker_name,agreement_type,feed_access_level,display_url,rules_link,logo_link,disclaimer,dlm_email,company_name,last_updated,new_date,ready_for_compliance,pending_cws,pending_broker,pending_mls,pending_compliance_mod,approved_provisioning,approved_complete
First Multiple Listing Service (FMLS),Approved - Complete,ticketlink.com,C,GA,TESTBROKERAGE,TESTBROKER,Broker-Initiated (MLS Dashboard),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,10/24/2024 10:58am,7/29/2024,9/26/2024,,10/2/2024,10/16/2024,,10/18/2024,10/24/2024
Florida Gulf Coast Multiple Listing Service,Approved - Complete,ticketlink.com,C,FL,TESTBROKERAGE,TESTBROKER,Digital Signature (Trestle),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,8/28/2024 9:34am,,,,,,,8/23/2024,8/28/2024
Florida Gulf Coast Multiple Listing Service,Approved - Complete,ticketlink.com,C,FL,TESTBROKERAGE,TESTBROKER,Digital Signature (Trestle),Back Office,,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,9/23/2024 11:00am,7/31/2024,8/27/2024,,8/28/2024,,,8/29/2024,9/23/2024
Fort Dodge MLS,New,ticketlink.com,B,IA,TESTBROKERAGE,TESTBROKER,CWS Request,Back Office,,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,7/31/2024 9:55am,7/31/2024,,,,,,,
Fort Dodge MLS,Approved - Complete,ticketlink.com,B,IA,TESTBROKERAGE,TESTBROKER,CWS Request,IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/27/2024 4:03pm,7/29/2024,9/25/2024,10/9/2024,,11/21/2024,,11/26/2024,11/27/2024
Fresno MLS,Approved - Complete,ticketlink.com,D,CA,TESTBROKERAGE,TESTBROKER,Digital Signature (eSign),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,9/13/2024 8:23am,,,,,8/22/2024,,9/9/2024,9/13/2024
Fresno MLS,Approved - Complete,ticketlink.com,D,CA,TESTBROKERAGE,TESTBROKER,Digital Signature (eSign),Back Office,,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,9/25/2024 11:05am,7/31/2024,9/16/2024,,,9/19/2024,,9/19/2024,9/25/2024
Garden State MLS,New,ticketlink.com,A,NJ,TESTBROKERAGE,TESTBROKER,Broker-Initiated (MLS Dashboard),Back Office,,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,7/31/2024 9:55am,7/31/2024,,,,,,,
Garden State MLS,Approved - Complete,ticketlink.com,A,NJ,TESTBROKERAGE,TESTBROKER,Broker-Initiated (MLS Dashboard),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,8/20/2024 1:13pm,,,,,,,,8/20/2024
Georgia MLS,Approved - Complete,ticketlink.com,C,GA,TESTBROKERAGE,TESTBROKER,Digital Signature (eSign),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/15/2024 1:55pm,7/29/2024,9/26/2024,,10/15/2024,11/14/2024,,11/14/2024,11/15/2024
Georgia MLS,Approved - Complete,ticketlink.com,C,GA,TESTBROKERAGE,TESTBROKER,Digital Signature (eSign),Back Office,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/19/2024 10:22am,7/31/2024,9/26/2024,,10/15/2024,11/14/2024,,11/14/2024,11/19/2024
Grand Forks Area Association of REALTORS,Approved - Complete,ticketlink.com,B,ND,TESTBROKERAGE,TESTBROKER,Digital Signature (Spark),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/14/2024 10:28am,7/30/2024,9/26/2024,,10/16/2024,11/12/2024,,11/13/2024,11/14/2024
Grand Forks Area Association of REALTORS,Approved - Complete,ticketlink.com,B,ND,TESTBROKERAGE,TESTBROKER,Digital Signature (Spark),Back Office,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/28/2024 10:31am,7/31/2024,9/26/2024,,10/9/2024,11/12/2024,,11/13/2024,11/28/2024
Great North MLS,Approved - Provisioning,ticketlink.com,B,ND,TESTBROKERAGE,TESTBROKER,Digital Signature (Spark),Back Office,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,12/9/2024 1:14pm,7/31/2024,9/26/2024,,10/1/2024,,,12/9/2024,
Great North MLS,Approved - Complete,ticketlink.com,B,ND,TESTBROKERAGE,TESTBROKER,Digital Signature (Spark),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,12/12/2024 11:21am,7/29/2024,9/26/2024,,9/26/2024,,,12/3/2024,12/12/2024
Great Plains Regional MLS,Approved - Complete,ticketlink.com,B,NE,TESTBROKERAGE,TESTBROKER,Broker-Initiated (MLS Request),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,12/3/2024 12:32pm,7/29/2024,11/6/2024,,11/6/2024,,,11/29/2024,12/3/2024
Great Plains Regional MLS,Approved - Complete,ticketlink.com,B,NE,TESTBROKERAGE,TESTBROKER,Broker-Initiated (MLS Request),Back Office,,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,12/3/2024 11:34am,7/31/2024,11/6/2024,,11/6/2024,,,11/29/2024,12/3/2024
Great Smoky Mountains Association of REALTORS,Approved - Complete,ticketlink.com,C,TN,TESTBROKERAGE,TESTBROKER,Digital Signature (Spark),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,9/16/2024 12:16pm,,,8/29/2024,8/30/2024,,,9/10/2024,9/16/2024
Great Smoky Mountains Association of REALTORS,Approved - Complete,ticketlink.com,C,TN,TESTBROKERAGE,TESTBROKER,Digital Signature (Spark),Back Office,,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,9/23/2024 11:03am,7/31/2024,9/16/2024,,,,,9/19/2024,9/23/2024
Greater Alabama MLS,Pending - MLS,ticketlink.com,C,AL,TESTBROKERAGE,TESTBROKER,Digital Signature (eSign),Back Office,,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/6/2024 10:50am,7/31/2024,9/5/2024,,,11/6/2024,,,
Greater Alabama MLS,Approved - Complete,ticketlink.com,C,AL,TESTBROKERAGE,TESTBROKER,Digital Signature (eSign),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,8/30/2024 9:25am,,,,,8/26/2024,,8/29/2024,8/30/2024
Greater Antelope Valley Association of REALTORS,Pending - Broker,ticketlink.com,D,CA,TESTBROKERAGE,TESTBROKER,Digital Signature (Spark),Back Office,,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/6/2024 9:45am,7/31/2024,11/5/2024,,11/6/2024,,,,
Greater Antelope Valley Association of REALTORS,Approved - Complete,ticketlink.com,D,CA,TESTBROKERAGE,TESTBROKER,Digital Signature (Spark),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/21/2024 10:04am,7/29/2024,11/5/2024,,11/6/2024,,,11/20/2024,11/21/2024
Greater Baton Rouge Association of REALTORS,Approved - Complete,ticketlink.com,C,LA,TESTBROKERAGE,TESTBROKER,Broker-Initiated (BAM),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,10/15/2024 10:32pm,7/29/2024,9/26/2024,,,,,10/7/2024,10/16/2024
Greater Baton Rouge Association of REALTORS,Approved - Complete,ticketlink.com,C,LA,TESTBROKERAGE,TESTBROKER,Broker-Initiated (BAM),Back Office,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,10/15/2024 10:32pm,7/31/2024,9/26/2024,,,,,10/7/2024,10/16/2024
Greater Binghamton Association of REALTORS,Approved - Complete,ticketlink.com,A,NY,TESTBROKERAGE,TESTBROKER,Digital Signature (Trestle),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/6/2024 9:18am,7/30/2024,10/21/2024,,10/22/2024,,,10/24/2024,11/6/2024
Greater Binghamton Association of REALTORS,Approved - Complete,ticketlink.com,A,NY,TESTBROKERAGE,TESTBROKER,Digital Signature (Trestle),VOW,,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/11/2024 5:50pm,7/31/2024,10/21/2024,,10/22/2024,,,,11/11/2024
Greater Chattanooga REALTORS,Pending - Broker,ticketlink.com,C,TN,TESTBROKERAGE,TESTBROKER,Digital Signature (Spark),Back Office,,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,10/22/2024 9:10am,7/31/2024,10/21/2024,,10/22/2024,,,,
Greater Chattanooga REALTORS,Approved - Complete,ticketlink.com,C,TN,TESTBROKERAGE,TESTBROKER,Digital Signature (Spark),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/6/2024 9:46am,7/30/2024,10/21/2024,,10/22/2024,,,11/1/2024,11/6/2024
Greater El Paso Association of REALTORS,Approved - Complete,ticketlink.com,D,TX,TESTBROKERAGE,TESTBROKER,Digital Signature (Spark),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,10/24/2024 9:21am,7/30/2024,10/16/2024,,10/18/2024,10/18/2024,,10/18/2024,10/24/2024
Greater El Paso Association of REALTORS,Approved - Complete,ticketlink.com,D,TX,TESTBROKERAGE,TESTBROKER,Digital Signature (Spark),Back Office,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,10/30/2024 10:40am,7/31/2024,10/16/2024,,10/18/2024,10/18/2024,,10/18/2024,10/30/2024
Greater Fort Polk Area REALTORS,Approved - Provisioning,ticketlink.com,C,LA,TESTBROKERAGE,TESTBROKER,Digital Signature (eSign),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,12/13/2024 12:36pm,12/5/2024,12/5/2024,11/6/2024,,12/5/2024,,12/13/2024,
Greater Fort Polk Area REALTORS,Approved - Provisioning,ticketlink.com,C,LA,TESTBROKERAGE,TESTBROKER,Digital Signature (eSign),Back Office,,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,12/13/2024 12:39pm,7/31/2024,12/13/2024,,,,,12/13/2024,
Greater Greenville Association of REALTORS,Approved - Provisioning,ticketlink.com,C,SC,TESTBROKERAGE,TESTBROKER,Broker-Initiated (PAM),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,12/13/2024 10:00am,7/29/2024,9/16/2024,,9/17/2024,,,12/13/2024,
Greater Greenville Association of REALTORS,Approved - Complete,ticketlink.com,C,SC,TESTBROKERAGE,TESTBROKER,Broker-Initiated (PAM),Back Office,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,9/23/2024 11:01am,7/31/2024,,,,9/13/2024,,9/16/2024,9/23/2024
Greater Lansing Association of REALTORS,Ready for Compliance,ticketlink.com,A,MI,TESTBROKERAGE,TESTBROKER,Digital Signature (eSign),Back Office,,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,9/18/2024 4:14pm,7/31/2024,9/18/2024,,,,,9/17/2024,9/19/2024
Greater Lansing Association of REALTORS,Approved - Complete,ticketlink.com,A,MI,TESTBROKERAGE,TESTBROKER,Digital Signature (eSign),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,9/19/2024 6:16pm,,,,8/16/2024,9/4/2024,,9/17/2024,9/19/2024
Greater Louisville Association of REALTORS,Approved - Complete,ticketlink.com,A,KY,TESTBROKERAGE,TESTBROKER,Digital Signature (Spark),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,9/19/2024 6:16pm,,,,8/13/2024,,,8/26/2024,9/17/2024
Greater Louisville Association of REALTORS,Approved - Complete,ticketlink.com,A,KY,TESTBROKERAGE,TESTBROKER,Digital Signature (Spark),Back Office,,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,9/17/2024 1:45pm,,,,,,,10/2/2024,10/2/2024
Greater Northwoods MLS,Approved - Provisioning,ticketlink.com,A,WI,TESTBROKERAGE,TESTBROKER,Digital Signature (Trestle),Back Office,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,10/2/2024 9:46am,8/7/2024,9/26/2024,,9/26/2024,,,9/26/2024,10/2/2024
Greater Northwoods MLS,Approved - Complete,ticketlink.com,A,WI,TESTBROKERAGE,TESTBROKER,Digital Signature (Trestle),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,10/2/2024 9:44am,8/7/2024,9/26/2024,,9/26/2024,,,10/22/2024,10/24/2024
Greater Scranton Board of REALTORS,Approved - Complete,ticketlink.com,A,PA,TESTBROKERAGE,TESTBROKER,Digital Signature (MLS Grid),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,10/24/2024 9:44am,7/29/2024,10/21/2024,,10/22/2024,,,11/1/2024,11/11/2024
Greater Scranton Board of REALTORS,Approved - Complete,ticketlink.com,A,PA,TESTBROKERAGE,TESTBROKER,Digital Signature (MLS Grid),Back Office,,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/11/2024 6:29pm,7/31/2024,10/21/2024,,10/22/2024,,,12/13/2024,
Greater Southern MLS,Approved - Provisioning,ticketlink.com,C,LA,TESTBROKERAGE,TESTBROKER,Digital Signature (Trestle),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,12/13/2024 10:16am,7/29/2024,12/5/2024,11/6/2024,12/5/2024,12/9/2024,,12/13/2024,
Greater Southern MLS,Approved - Provisioning,ticketlink.com,C,LA,TESTBROKERAGE,TESTBROKER,Digital Signature (Trestle),Back Office,,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,12/13/2024 10:16am,7/31/2024,12/5/2024,11/6/2024,12/5/2024,,,,
Greater Tyler Association of REALTORS,Pending - Broker,ticketlink.com,D,TX,TESTBROKERAGE,TESTBROKER,Digital Signature (eSign),Back Office,,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,12/9/2024 2:44pm,7/31/2024,12/6/2024,,12/9/2024,12/6/2024,,12/9/2024,12/12/2024
Greater Tyler Association of REALTORS,Approved - Complete,ticketlink.com,D,TX,TESTBROKERAGE,TESTBROKER,Digital Signature (eSign),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,12/12/2024 11:27am,7/30/2024,10/21/2024,,10/21/2024,12/6/2024,,,
Gulf Coast MLS (Mobile Area Association of REALTORS),New,ticketlink.com,C,AL,TESTBROKERAGE,TESTBROKER,Broker-Initiated (BAM),Back Office,,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,7/31/2024 9:55am,7/31/2024,,,,,,11/12/2024,11/15/2024
Gulf Coast MLS (Mobile Area Association of REALTORS),Approved - Complete,ticketlink.com,C,AL,TESTBROKERAGE,TESTBROKER,Broker-Initiated (BAM),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/15/2024 1:56pm,7/30/2024,9/16/2024,,10/7/2024,,,,
Gulf South Real Estate Information Network (GSREIN),Pending - Broker,ticketlink.com,C,LA,TESTBROKERAGE,TESTBROKER,Digital Signature (Trestle),Back Office,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,10/9/2024 3:04pm,7/31/2024,9/26/2024,,10/9/2024,,,,
Gulf South Real Estate Information Network (GSREIN),Pending - MLS,ticketlink.com,C,LA,TESTBROKERAGE,TESTBROKER,Digital Signature (Trestle),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/27/2024 3:26pm,7/29/2024,9/26/2024,,10/9/2024,11/27/2024,,12/13/2024,
Hattiesburg Area Association of REALTORS,Approved - Provisioning,ticketlink.com,C,MS,TESTBROKERAGE,TESTBROKER,Digital Signature (Spark),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,12/13/2024 9:59am,7/29/2024,10/16/2024,,10/25/2024,,,12/12/2024,
Hattiesburg Area Association of REALTORS,Approved - Provisioning,ticketlink.com,C,MS,TESTBROKERAGE,TESTBROKER,Digital Signature (Spark),Back Office,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,12/12/2024 3:25pm,7/31/2024,10/16/2024,,10/25/2024,,,,
Heart of Kentucky Association of REALTORS,Pending - MLS,ticketlink.com,A,KY,TESTBROKERAGE,TESTBROKER,Digital Signature (eSign),Back Office,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,9/25/2024 12:33pm,7/31/2024,9/11/2024,9/25/2024,,9/25/2024,,10/15/2024,10/16/2024
Heart of Kentucky Association of REALTORS,Approved - Complete,ticketlink.com,A,KY,TESTBROKERAGE,TESTBROKER,Digital Signature (eSign),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,10/16/2024 11:14am,7/29/2024,9/11/2024,,9/25/2024,10/14/2024,,,
Heartland MLS,Pending - Broker,ticketlink.com,D,KS,TESTBROKERAGE,TESTBROKER,Digital Signature (MLS Grid),Back Office,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,10/21/2024 4:32pm,7/31/2024,10/21/2024,,10/21/2024,,,11/1/2024,11/12/2024
Heartland MLS,Approved - Complete,ticketlink.com,D,KS,TESTBROKERAGE,TESTBROKER,Digital Signature (MLS Grid),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/12/2024 9:14am,7/29/2024,10/21/2024,,10/21/2024,,,11/26/2024,11/27/2024
Hernando County Association of REALTORS,Approved - Complete,ticketlink.com,C,FL,TESTBROKERAGE,TESTBROKER,Digital Signature (Spark),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/27/2024 4:03pm,7/29/2024,11/8/2024,,11/21/2024,,,,
Hernando County Association of REALTORS,Approved - Complete,ticketlink.com,C,FL,TESTBROKERAGE,TESTBROKER,Digital Signature (Spark),Back Office,,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/29/2024 9:12am,7/31/2024,11/8/2024,,11/21/2024,,,11/26/2024,11/29/2024
Hinesville Area Board of REALTORS,Approved - Complete,ticketlink.com,C,GA,TESTBROKERAGE,TESTBROKER,CWS Request,IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,10/16/2024 10:44am,9/26/2024,9/26/2024,,,10/7/2024,,10/11/2024,10/16/2024
Hinesville Area Board of REALTORS,Approved - Complete,ticketlink.com,C,GA,TESTBROKERAGE,TESTBROKER,CWS Request,Back Office,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,10/16/2024 10:46am,7/31/2024,9/26/2024,,,10/7/2024,,10/11/2024,10/16/2024
Houston Association of REALTORS,Approved - Complete,ticketlink.com,D,TX,TESTBROKERAGE,TESTBROKER,Automatic,IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,9/19/2024 1:52pm,7/30/2024,9/11/2024,,,9/11/2024,,9/12/2024,9/19/2024
Houston Association of REALTORS,Approved - Complete,ticketlink.com,D,TX,TESTBROKERAGE,TESTBROKER,Automatic,Back Office,,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,9/17/2024 1:24pm,7/31/2024,9/11/2024,,,9/11/2024,,9/12/2024,9/17/2024
Hudson County MLS,Pending - MLS,ticketlink.com,A,NJ,TESTBROKERAGE,TESTBROKER,Digital Signature (eSign),Back Office,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,9/25/2024 3:21pm,7/31/2024,9/11/2024,,,9/25/2024,,,
Hudson County MLS,Approved - Complete,ticketlink.com,A,NJ,TESTBROKERAGE,TESTBROKER,Digital Signature (eSign),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,10/9/2024 11:28am,7/29/2024,9/11/2024,,9/18/2024,,,10/7/2024,10/9/2024
Huron Board of REALTORS,Approved - Provisioning,ticketlink.com,B,SD,TESTBROKERAGE,TESTBROKER,Digital Signature (Spark),Back Office,,rules.com,logo.com,DISCLAIMER,dlm@email.com,,10/24/2024 1:29pm,,10/21/2024,,10/21/2024,10/21/2024,,10/24/2024,
Huron Board of REALTORS,Approved - Complete,ticketlink.com,B,SD,TESTBROKERAGE,TESTBROKER,Digital Signature (Spark),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/6/2024 10:42am,,10/21/2024,,10/21/2024,10/21/2024,,10/24/2024,11/6/2024
Imagine MLS (Bluegrass REALTORS),Approved - Complete,ticketlink.com,A,KY,TESTBROKERAGE,TESTBROKER,Digital Signature (Spark),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,9/19/2024 6:15pm,,,,8/13/2024,9/16/2024,,9/16/2024,9/19/2024
Imagine MLS (Bluegrass REALTORS),Approved - Complete,ticketlink.com,A,KY,TESTBROKERAGE,TESTBROKER,Digital Signature (Spark),Back Office,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/27/2024 2:27pm,7/31/2024,9/18/2024,,9/18/2024,,,10/2/2024,11/27/2024
Imperial County Association of REALTORS,Approved - Complete,ticketlink.com,D,CA,TESTBROKERAGE,TESTBROKER,Digital Signature (eSign),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/12/2024 9:23am,7/30/2024,10/21/2024,,10/21/2024,11/1/2024,,11/6/2024,11/12/2024
Imperial County Association of REALTORS,Approved - Complete,ticketlink.com,D,CA,TESTBROKERAGE,TESTBROKER,Digital Signature (eSign),Back Office,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/12/2024 9:25am,7/31/2024,10/21/2024,,10/22/2024,11/1/2024,,11/6/2024,11/12/2024
Iowa City Area Association of REALTORS,Approved - Complete,ticketlink.com,B,IA,TESTBROKERAGE,TESTBROKER,Automatic,IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/6/2024 9:52am,7/29/2024,9/26/2024,,10/2/2024,10/22/2024,,10/31/2024,11/6/2024
Iowa City Area Association of REALTORS,Approved - Complete,ticketlink.com,B,IA,TESTBROKERAGE,TESTBROKER,Automatic,Back Office,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,11/12/2024 10:47am,7/31/2024,9/26/2024,,,10/2/2024,,11/6/2024,11/12/2024
Iowa Great Lakes Board of REALTORS,Approved - Complete,ticketlink.com,B,IA,TESTBROKERAGE,TESTBROKER,Digital Signature (eSign),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,10/9/2024 10:37am,7/29/2024,9/26/2024,,10/2/2024,10/2/2024,,10/4/2024,10/9/2024
Iowa Great Lakes Board of REALTORS,Approved - Complete,ticketlink.com,B,IA,TESTBROKERAGE,TESTBROKER,Digital Signature (eSign),Back Office,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,10/9/2024 11:15am,7/31/2024,9/26/2024,,,10/2/2024,,,10/9/2024
Iron County Board of REALTORS,Cancelled,ticketlink.com,D,UT,TESTBROKERAGE,TESTBROKER,Digital Signature (Spark),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,10/1/2024 1:24pm,7/29/2024,9/30/2024,,9/30/2024,,,,
Iron County Board of REALTORS,Cancelled,ticketlink.com,D,UT,TESTBROKERAGE,TESTBROKER,Digital Signature (Spark),Back Office,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,10/1/2024 1:25pm,7/31/2024,9/30/2024,,9/30/2024,,,,
Lake Martin Area Association of REALTORS,Approved - Complete,ticketlink.com,C,AL,TESTBROKERAGE,TESTBROKER,Digital Signature (Spark),IDX,,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,9/5/2024 9:40am,,,,,,,8/22/2024,9/5/2024
Lake Martin Area Association of REALTORS,Approved - Complete,ticketlink.com,C,AL,TESTBROKERAGE,TESTBROKER,Digital Signature (Spark),Back Office,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,9/23/2024 10:57am,,,,,,,8/22/2024,9/23/2024
Lakeway Area Association of REALTORS,Approved - Complete,ticketlink.com,C,TN,TESTBROKERAGE,TESTBROKER,Digital Signature (Spark),IDX,[TESTBROKERAGE]realty.com,rules.com,logo.com,DISCLAIMER,dlm@email.com,[TESTBROKERAGE] Realty,9/5/2024 9:40am,,,,8/22/2024,,,9/3/2024,9/5/2024
